productTitle,price,category,description,image1,image2,inventory,brand
Baby Stroller,25000,Baby Products,Comfortable stroller for baby transport,https://i5.walmartimages.com/seo/Babyjoy-2-In-1-Foldable-Baby-Stroller-Kids-Travel-Newborn-Infant-Buggy-Pushchair-Gray_d5d0e7ba-e1df-4ee5-bd37-6c4a934cf317.38a838b43c51749c9fe66efca6bb9f8a.jpeg,,30,StrollEase
Baby Crib,30000,Baby Products,Safe and sturdy crib for infants,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZJD5iXEvkPYuphwTVLbDWdumoS3QMM1F8Bw&s,,25,DreamNest
Baby Monitor,20000,Baby Products,Reliable baby monitor for child safety,https://m.media-amazon.com/images/I/61rnMcVq9KL._SL1500_.jpg,,40,SafeWatch
Baby Clothes,5000,Baby Products,Soft and cute baby clothes set,"https://hips.hearstapps.com/vader-prod.s3.amazonaws.com/1672868893-carters-copy-1672868808.jpg?crop=1xw:1xh;center,top&resize=980:*",,60,TinyThreads
Baby Bath Tub,7000,Baby Products,Safe and comfortable baby bath tub,https://image.made-in-china.com/202f0j00zQukwBUrJpoc/Newborn-Portable-Bathing-Tub-Kids-Bathtub-PP-Plastic-Baby-Bath-Tub.webp,,50,SplashTime
Baby Carrier,15000,Baby Products,Ergonomic baby carrier for hands-free carrying,https://media.takealot.com/covers_images/e48c99e17c904e86a7f8d9032e128430/s-pdpxl.file,,35,CarryComfort
Baby Toys,4000,Baby Products,Educational toys for infant development,https://images-cdn.ubuy.co.in/6355f4a361d475307f21542a-toys-for-1-2-3-year-old-boy-girl-funny.jpg,,70,PlayLearn
Printer,50000,Office Supplies,Efficient printer for home or office use,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWDipskwjfmMQe4k1bnZkZJVbY8-YuOSLo-w&s,,30,PrintPro
Office Desk,40000,Office Supplies,Spacious office desk for productive work,https://i0.wp.com/kenstarlimited.ng/wp-content/uploads/2022/08/2dcefd84-8a0d-49c9-b4c2-596dc4c2a037.jpg?fit=600%2C532&ssl=1,,25,WorkSpace
Office Chair,25000,Office Supplies,Ergonomic office chair for comfortable seating,,,35,ErgoSit
Filing Cabinet,30000,Office Supplies,Organized filing cabinet for document storage,,,20,FileMax
Shredder,20000,Office Supplies,Secure paper shredder for document disposal,,,40,ShredSafe
Stationery Set,3000,Office Supplies,Complete stationery set for office needs,,,100,WriteRight
Whiteboard,10000,Office Supplies,Large whiteboard for presentations,,,50,BoardBright
Projector,80000,Office Supplies,High-quality projector for presentations,,,15,ProjectClear
Laptop Stand,8000,Office Supplies,Adjustable laptop stand for ergonomic use,,,60,ErgoDock
Desk Lamp,5000,Office Supplies,Bright desk lamp for focused lighting,,,70,LightWork
Car Tyre,25000,Automotive,Durable car tyre for safe driving,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiGnpzrfC_tzrikGbIZ0h8m0akro2jkYAJVw&s,,40,RoadGrip
